Wave,Enemy1,pattern1,Enemy2,pattern2,enemy3,pattern3
1,1,2,0,0,0,0
2,2,2,1,3,0,0
3,6,3,1,3,0,0
4,1,0,2,3,0,0
5,2,2,1,1,0,0
6,6,3,1,1,0,0
7,3,2,1,2,0,0
8,7,3,2,2,0,0
9,8,3,2,2,0,0
10,6,3,2,0,1,3
11,3,2,2,2,0,0
12,3,2,2,2,0,0
13,4,2,2,0,1,3
14,3,2,3,2,0,3
15,3,2,3,2,0,3
*Comments start with a *,,,,,,
*Pattern types.,,,,,,
*0 all at once. a big gaggle of them coming out a lot at a time. multiply by 3. ,,,,,,
*1 staggered. come out one at a time for a longer period of time. multiply by 3,,,,,,
*2 waves. come in waves of 3 every certain ,,,,,,
*3 singles. one at a time,,,,,,
*+5 means wait 5 seconds then keep going with same wave,,,,,,
