Wave,Enemy1,pattern1,Enemy2,pattern2,enemy3,pattern3
1,3,1,0,0,0,0
2,2,2,2,3,0,0
3,8,3,2,3,0,0
4,2,2,5,3,0,0
5,2,2,7,3,1,3
6,2,2,7,3,0,3
7,4,2,5,3,1,3
8,2,2,6,3,0,3
9,3,2,2,0,1,3
10,3,2,2,2,2,3
11,4,2,2,2,2,3
12,3,2,0,2,3,3
13,0,2,2,2,1,2
14,3,2,2,2,1,2
15,3,2,2,2,2,1
*Comments start with a *,,,,,,
*Pattern types.,,,,,,
*0 all at once. a big gaggle of them coming out a lot at a time. multiply by 3. ,,,,,,
*1 staggered. come out one at a time for a longer period of time. multiply by 3,,,,,,
*2 waves. come in waves of 3 every certain ,,,,,,
*3 singles. one at a time,,,,,,
*+5 means wait 5 seconds then keep going with same wave,,,,,,
